Var	Year	Month	Day	Value	Test
Tx	2001	4	3	25.0	climatic_outliers
Tx	2006	4	25	25.0	climatic_outliers
Tx	2006	5	16	25.9	climatic_outliers
Tx	2007	6	27	39.4	climatic_outliers
Tx	2007	10	20	39.0	climatic_outliers
Tx	2007	10	24	40.0	climatic_outliers
Tx	2009	9	29	32.0	daily_repetition
Tx	2009	9	30	32.0	daily_repetition
Tx	2009	10	1	32.0	daily_repetition
Tx	2009	10	2	32.0	daily_repetition
Tx	2009	11	20	32.5	daily_repetition
Tx	2009	11	21	32.5	daily_repetition
Tx	2009	11	22	32.5	daily_repetition
Tx	2009	11	23	32.5	daily_repetition
Tx	2010	1	13	35.0	daily_repetition
Tx	2010	1	14	35.0	daily_repetition
Tx	2010	1	15	35.0	daily_repetition
Tx	2010	1	16	35.0	daily_repetition
Tx	2011	2	23	30.0	climatic_outliers
Tx	2011	2	27	30.0	climatic_outliers
Tx	2012	6	28	23.3	climatic_outliers
Tx	2012	8	10	37.9	climatic_outliers
Tx	2013	3	28	27.4	climatic_outliers
Tx	2013	4	15	26.2	climatic_outliers
Tx	2014	5	27	25.0	climatic_outliers
Tx	2014	11	5	25.1	climatic_outliers
Tx	2018	2	26	28.5	climatic_outliers
Tx	2018	7	11	39.8	climatic_outliers
Tx	2019	6	7	38.3	climatic_outliers
Tx	2019	8	10	39.5	climatic_outliers
