station	Var	Year	Month	Day	Value	Test
BNM00065338	Tx	2002	1	13	29.3	climatic_outliers
BNM00065338	Tx	2002	8	8	38.1	climatic_outliers
BNM00065338	Tx	2003	1	22	29.2	climatic_outliers
BNM00065338	Tx	2004	1	21	28.5	climatic_outliers
BNM00065338	Tx	2004	2	15	29.4	climatic_outliers
BNM00065338	Tx	2005	2	6	30.2	climatic_outliers
BNM00065338	Tx	2005	9	1	23.7	climatic_outliers
BNM00065338	Tx	2006	3	22	26.5	climatic_outliers
BNM00065338	Tx	2006	5	16	23.8	climatic_outliers
BNM00065338	Tx	2009	4	13	26.5	climatic_outliers
BNM00065338	Tx	2009	7	10	37.5	climatic_outliers
BNM00065338	Tx	2010	11	6	28.6	climatic_outliers
BNM00065338	Tx	2011	2	19	31.3	climatic_outliers
BNM00065338	Tx	2012	10	19	26.2	climatic_outliers
BNM00065338	Tx	2014	11	4	28.0	climatic_outliers
BNM00065338	Tx	2014	11	5	26.6	climatic_outliers
BNM00065338	Tx	2015	3	31	28.5	climatic_outliers
BNM00065338	Tx	2015	11	2	28.4	climatic_outliers
BNM00065338	Tx	2018	2	26	30.7	climatic_outliers
BNM00065338	Tx	2019	10	5	25.7	climatic_outliers
BNM00065338	Tx	2019	10	12	25.5	climatic_outliers
