Var	Year	Month	Day	Value	Test
Tn	2001	3	29	28.0	daily_repetition
Tn	2001	3	30	28.0	daily_repetition
Tn	2001	3	31	28.0	daily_repetition
Tn	2001	4	3	28.0	daily_repetition
Tn	2002	1	19	20.5	daily_repetition
Tn	2002	1	20	20.5	daily_repetition
Tn	2002	1	23	20.5	daily_repetition
Tn	2002	1	24	20.5	daily_repetition
Tn	2003	6	15	15.3	climatic_outliers
Tn	2004	3	29	30.5	daily_out_of_range
Tn	2007	4	4	30.1	daily_out_of_range
Tn	2007	12	22	11.2	climatic_outliers
Tn	2010	3	9	30.2	daily_out_of_range
Tn	2010	3	15	30.5	daily_out_of_range
Tn	2010	3	20	31.0	daily_out_of_range
Tn	2010	4	5	30.5	daily_out_of_range
Tn	2011	9	16	23.0	daily_repetition
Tn	2011	9	17	23.0	daily_repetition
Tn	2011	9	18	23.0	daily_repetition
Tn	2011	9	19	23.0	daily_repetition
Tn	2011	9	22	23.0	daily_repetition
Tn	2011	9	23	23.0	daily_repetition
Tn	2011	9	25	23.0	daily_repetition
Tn	2011	9	26	23.0	daily_repetition
Tn	2012	1	30	22.0	daily_repetition
Tn	2012	1	31	22.0	daily_repetition
Tn	2012	2	1	22.0	daily_repetition
Tn	2012	2	2	22.0	daily_repetition
Tn	2013	9	30	14.0	climatic_outliers
Tn	2015	3	20	31.0	daily_out_of_range
Tn	2015	3	21	31.0	daily_out_of_range
Tn	2016	3	30	30.4	daily_out_of_range
Tn	2016	3	31	30.9	daily_out_of_range
Tn	2016	5	6	30.4	daily_out_of_range
Tn	2017	10	28	16.0	climatic_outliers
Tn	2018	4	20	30.3	daily_out_of_range
Tn	2019	3	19	30.5	daily_out_of_range
Tn	2019	3	20	31.0	daily_out_of_range
Tn	2019	3	21	30.5	daily_out_of_range
Tn	2019	4	4	30.5	daily_out_of_range
Tn	2019	4	7	31.1	daily_out_of_range
Tn	2019	4	11	30.5	daily_out_of_range
Tn	2019	4	18	30.9	daily_out_of_range
Tn	2019	4	20	30.2	daily_out_of_range
Tn	2020	3	9	31.4	daily_out_of_range
Tn	2020	3	19	30.4	daily_out_of_range
Tn	2020	3	30	30.3	daily_out_of_range
Tn	2020	4	4	30.2	daily_out_of_range
Tn	2020	4	17	31.2	daily_out_of_range
